item,description,website
Mischief,An infinite drawing canvas with infinite zoom. This is a fun and lightweight drawing app for Windows and OSX.,https://www.madewithmischief.com/
The Grid,Websites built with Artificial Intelligence. Can't wait to see how this turns out. They're currently accepting 'Founding Members'... a fancy way of saying 'Backers',https://thegrid.io/#33984
